Domaine;Produit;Entreprise;Année(s) de stage(s);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Adresse du laboratoire;Contact pour candidature;adresse mail;Téléphone;Site internet;Longitude Latitude;Plus Code;Directeur;;;;;;Rang A et i;Entreprise et Rang A et i;Rang  i;Entreprise et  Rang  i;DeuxMillevingtDeux Nb D apprentis;DeuxMillevingtDeux  Nb D initiaux;DeuxMillevingtEtUn Nb D apprentis;DeuxMillevingtEtUn  Nb D initiaux;DeuxMillevingt Nb D apprentis;DeuxMillevingt  Nb D initiaux;DeuxMilleDixNeuf  Nb D apprentis;DeuxMilleDixNeuf  Nb D initiaux;DeuxMilleDixHuit  Nb D apprentis;DeuxMilleDixHuit  Nb D initiaux;DeuxMilleDixSept  Nb D apprentis;DeuxMilleDixSept  Nb D initiaux;DeuxMilleSeize  Nb D apprentis;DeuxMilleSeize  Nb D initiaux;DeuxMilleQuinze  Nb D apprentis;DeuxMilleQuinze  Nb D initiaux;DeuxMilleQuatorze  Nb D apprentis;DeuxMilleQuatorze  Nb D intiaux;Points A  et  i;Points  i;;;A;B;C;D;E;;;F;G;H;I;J;;
Lycée;Etudiants en  BTS Analyses de Biologie Médicale;Lycée Technologique Saint Louis;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rue Jean Hameau, 33300 Bordeaux;;;33556693595;;44.866638272981916, -0.5675021711050321;;;;;;;;1;N° 1 Lycée Technologique Saint Louis;1;N° 1 Lycée Technologique Saint Louis;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Anapath;privé;Laboratoire d'anatomocytopathologie CAP;"          ; 2018_i=1  ; 2017_i=1  ; 2016_i=2  ; 2015_i=1  ";30 bis rue Ulysse Gayon, BORDEAUX;05 57 81 23 10;;M. Dupin;;;;;;;;;;;;;x;;;xx;;x;;x;;;;;;;;;;;;;114 Avenue Léon Blum 33110 Le Bouscat;M. Dupin;;05 57 81 23 10;https://www.laboratoirecap.com/;44.870457439863166, -0.6070873962348804;;;;;;;;;;;;;0;;0;;0;;0;;1;;1;;2;;1;;0;;;;;;;;;;;;;;;;;;
Anapath;privé;Laboratoire d’anatomocytopathologie REAU-FOCH;"  ; 2022_i=1  ; 2021_i=3  ; 2020_i=2  ; 2019_i=4  ; 2018_i=3  ; 2017_i=3  ; 2016_i=2    ; 2014_i=1";22 bis rue du Sacré Coeur  33 000 BORDEAUX  ;05 56 79 45 56;;Mme Réau / M. Pietri;;;x;;;;;;;x;;x;;;x;x;x;xx;xx;x;xx;xx;xx;xxx;x;;;;;;;;22 bis rue du Sacré Coeur  33 000 BORDEAUX  ;Mme Réau / M. Pietri;ma.pena@reaupathologie.fr;05 56 79 45 56;https://www.reaupathologie.fr/;44.84914313893951, -0.6048088864501454;;;;;;;;;;;;;1;;3;;2;;4;;3;;3;;2;;0;;1;;;;;;;;;;;;;;;;;;
Anapath;privé;Laboratoire d’anatomocytopathologie AQUIPATH;"  ; 2022_i=1  ; 2021_i=1  ; 2020_i=1    ; 2018_i=1  ; 2017_i=1      ";23 bd Prés Franklin Roosevelt, 33 400 TALENCE;05 56 84 16 00;scp.dms@wanadoo.fr;Mme Canihac et coll.;;;;;;;;;;;;;;;;;;x;;x;;;x;x;x;;;;;;;;23 bd Prés Franklin Roosevelt, 33 400 TALENCE;Mme Canihac et coll.;scp.dms@wanadoo.fr;05 56 84 16 00;https://aquipath.fr/;44.82079573165378, -0.5816639832524507;;;;;;;;;;;;;1;;1;;1;;0;;1;;1;;0;;0;;0;;;;;;;;;;;;;;;;;;
Anapath;privé;Laboratoire d’anatomocytopathologie MEDIPATH;"    ; 2021_i=1  ; 2020_i=1  ; 2019_i=1  ; 2018_i=1        ";Biopath Aquitaine, 4 allée des musardises 33 185 LE HAILLAN;06 74 59 17 08 / 05 56 13 28 50;;Mme Kunzelmann;;;;;;;;;;;;;;;;;;;;x;x;;x;x;;;;;;;;;Biopath Aquitaine, 4 allée des musardises 33 185 LE HAILLAN;Mme Kunzelmann;vkunzelmann@hotmail.fr;06 74 59 17 08 / 05 56 13 28 50;https://medipath.fr/;44.859992875070745, -0.6669524797343358;;;;;;;;;;;;;0;;1;;1;;1;;1;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent;privé;BIOLAB 33 Le Haillan;"  ; 2022_i=2  ; 2021_i=2  ; 2020_i=2  ; 2019_i=4  ; 2018_i=4  ; 2017_i=2  ; 2016_i=2    ";12 avenue Pasteur 33 185 LE HAILLAN ;05 56 13 08 40;sebastien.degrange@biolab33.com;M. Degrange;;;;;;x;;;;;;;;;;xx;xx;;xx;xx;xx;xx;xx;xx;xx;;;;;;;;12 avenue Pasteur 33 185 LE HAILLAN ;M. Degrange;sebastien.degrange@biolab33.com;05 56 13 08 40;https://www.biolab33.com/;44.86807828743537, -0.6660516927784096;;;;;;;;;;;;;2;;2;;2;;4;;4;;2;;2;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent;privé;SYNLAB (ex Biopole 33);"    ; 2021_i=1  ; 2020_i=1  ; 2019_i=1  ; 2018_i=1  ; 2017_i=3    ; 2015_i=4  ; 2014_i=1";20 r Armand Lamarque 33 800 BORDEAUX  ;05 56 85 46 00;;M. Pages;x;x;;x;;x;xx;;xx;xx;;x;xx;xx;;;x;xx;x;;x;;x;x;;;;;;;;;20 r Armand Lamarque 33 800 BORDEAUX  ;M. Pages;;05 56 85 46 00;http://www.biopole33.fr/;44.813677367319094, -0.572029184597975;;;;;;;;;;;;;0;;1;;1;;1;;1;;3;;0;;4;;1;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;privé;EUROFINS Site de Bordeaux Nord (Polyvalent sauf microbio);"  ; 2022_i=1  ; 2021_i=1  ; 2020_i=1  ; 2019_i=1  ; 2018_i=2  ; 2017_i=3  ; 2016_i=4  ; 2015_i=2  ; 2014_i=2";18 r Henri Guillemin 33 300 BORDEAUX ;05 56 10 16 70;annierigodanzo@eurofins.com;Mme Rigodanzo / Mme Filiu;x;x;;x;x;x;;x;x;;x;x;;xx;xx;xx;xx;x;xx;;;x;x;x;x;;;;;;;;18 r Henri Guillemin 33 300 BORDEAUX ;Mme Rigodanzo / Mme Filiu;annierigodanzo@eurofins.com;05 56 10 16 70;https://www.eurofins-biologie-medicale.com/fr/nos-laboratoires/bordeaux-nord;44.863737958475724, -0.5774571585753608;;;;;;;;;;;;;1;;1;;1;;1;;2;;3;;4;;2;;2;;;;;;;;;;;;;;;;;;
Microbio;privé;EUROFINS Charazac (microbio);"  ; 2022_i=1  ; 2021_i=2  ; 2020_i=1  ; 2019_i=2  ; 2018_i=2  ; 2017_i=1  ; 2016_i=2    ; 2014_i=1";2 rue Robert CHARAZAC - 33 000 BORDEAUX ;05 56 11 19 19 / 05 56 01 71 83;nicolaslagarde@eurofins.com;M. Lagarde;;;;;;;;;;;;x;;;;xx;;x;x;x;x;x;x;xx;x;;;;;;;;2 rue Robert CHARAZAC - 33 000 BORDEAUX ;M. Lagarde;nicolaslagarde@eurofins.com;05 56 11 19 19 / 05 56 01 71 83;https://www.eurofins-biologie-medicale.com/fr/nos-laboratoires/ravezies/;44.86338239192283, -0.5763796999413003;;;;;;;;;;;;;1;;2;;1;;2;;2;;1;;2;;0;;1;;;;;;;;;;;;;;;;;;
PMA;privé;EUROFINS  Procréation médicalement assistée;                  ;Clinique Jean Villar, BRUGES;05 56 11 19 19;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Clinique Jean Villar, BRUGES;?;;05 56 11 19 19;https://www.eurofins-biologie-medicale.com/fr/nos-laboratoires/centre-de-fertilite-jean-villar/;44.88746920165169, -0.6116827134321767;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
